,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
0,12,4,Trig,0.017049463455880747,0.1194039781888326,L-BFGS-B
1,8,4,Trig,0.008803613985210948,0.20323750376701355,L-BFGS-B
2,10,4,Trig,0.008345579677357978,0.16345069408416749,L-BFGS-B
3,10,4,Trig,0.05124546664940115,0.11002397537231445,L-BFGS-B
4,16,4,Trig,0.023968168622573713,0.10427181422710419,L-BFGS-B
5,13,4,Trig,0.02852374610828928,0.0860136839059683,L-BFGS-B
6,13,4,Trig,0.022105983193684287,0.06490945816040039,L-BFGS-B
7,14,4,Trig,0.03216370890826305,0.17880659443991526,L-BFGS-B
8,12,4,Trig,0.5288978726050002,0.13620750109354654,L-BFGS-B
9,7,4,Trig,0.020007207841634882,0.15692101206098283,L-BFGS-B
10,6,4,Trig,0.0115448760158734,0.13875218232472739,L-BFGS-B
11,18,4,Trig,0.040016935739342264,0.12348333994547527,L-BFGS-B
12,13,4,Trig,0.02230945413079804,0.11132854681748611,L-BFGS-B
13,14,4,Trig,0.09275291072768359,0.11863643782479423,L-BFGS-B
14,10,4,Trig,0.19448710780690434,0.16460750102996827,L-BFGS-B
15,10,4,Trig,0.012445453137682158,0.08517582416534424,L-BFGS-B
16,16,4,Trig,1.4454796520167552,0.15976357460021973,L-BFGS-B
17,5,4,Trig,0.004958453175658967,0.16688661575317382,L-BFGS-B
18,7,4,Trig,0.0037712644072331832,0.19435855320521764,L-BFGS-B
19,17,4,Trig,0.032425337141605226,0.13280669380636775,L-BFGS-B
20,18,4,Trig,0.07306475922395186,0.12751060061984593,L-BFGS-B
21,11,4,Trig,0.03167471315512653,0.17939972877502441,L-BFGS-B
22,14,4,Trig,0.016342569340933453,0.08090865612030029,L-BFGS-B
23,10,4,Trig,0.01572743918793112,0.11218669414520263,L-BFGS-B
24,12,4,Trig,0.005493566045788675,0.23134015003840128,L-BFGS-B
25,9,4,Trig,0.004596515375576658,0.12297132280137804,L-BFGS-B
26,15,4,Trig,0.030086868197975045,0.16973926226298014,L-BFGS-B
27,14,4,Trig,0.01689199337987543,0.20130814824785506,L-BFGS-B
28,13,4,Trig,0.20316366548551784,0.17407468649057242,L-BFGS-B
29,14,4,Trig,0.0164159804482586,0.18175065517425537,L-BFGS-B
30,10,4,Trig,0.01169557416676526,0.05837981700897217,L-BFGS-B
31,11,4,Trig,0.047331684802588085,0.05217974836176092,L-BFGS-B
32,12,4,Trig,0.015479842002054095,0.1644838253657023,L-BFGS-B
33,10,4,Trig,0.00835963390160919,0.05933511257171631,L-BFGS-B
34,6,4,Trig,0.009514065212037183,0.19051218032836914,L-BFGS-B
35,11,4,Trig,0.011909250308530989,0.17799600687893954,L-BFGS-B
36,12,4,Trig,0.11511901598656796,0.14346373081207275,L-BFGS-B
37,10,4,Trig,0.007969566362945154,0.14375228881835939,L-BFGS-B
38,17,4,Trig,0.5646443434241979,0.1365958241855397,L-BFGS-B
39,5,4,Trig,0.005198490616971487,0.11505823135375977,L-BFGS-B
40,15,4,Trig,0.1250688565366691,0.1878705342610677,L-BFGS-B
41,15,4,Trig,0.4121725774553136,0.09745774269104004,L-BFGS-B
42,12,4,Trig,0.03541281448619949,0.20774567127227783,L-BFGS-B
43,15,4,Trig,0.010546067619461207,0.1324501355489095,L-BFGS-B
44,8,4,Trig,0.13207118264662968,0.10637310147285461,L-BFGS-B
45,9,4,Trig,0.007720971630736193,0.21299642986721462,L-BFGS-B
46,9,4,Trig,0.06459415937535848,0.09761044714185926,L-BFGS-B
47,14,4,Trig,0.029602705771292523,0.1990852185658046,L-BFGS-B
48,12,4,Trig,0.40131670254923224,0.16232232252756754,L-BFGS-B
49,13,4,Trig,0.06478803655404317,0.19682453228877142,L-BFGS-B
