,number of trials,number of parameters,type of function,Accuracy,Time (sec),type of opt
0,13,2,power,0.0904,0.006,hyper
1,21,2,power,0.1786,0.004,hyper
2,31,2,power,0.3394,0.003,hyper
3,15,2,power,0.2733,0.002,hyper
4,23,2,power,0.8805,0.004,hyper
5,19,2,power,0.0192,0.004,hyper
6,17,2,power,0.0729,0.003,hyper
7,28,2,power,0.5503,0.006,hyper
8,19,2,power,0.5364,0.006,hyper
9,20,2,power,0.0148,0.004,hyper
10,29,2,power,0.0402,0.006,hyper
11,13,2,power,0.2902,0.004,hyper
12,15,2,power,0.6037,0.003,hyper
13,17,2,power,0.4948,0.003,hyper
14,16,2,power,0.0929,0.002,hyper
15,23,2,power,0.5672,0.002,hyper
16,24,2,power,0.4141,0.003,hyper
17,18,2,power,0.2531,0.003,hyper
18,18,2,power,0.5275,0.001,hyper
19,20,2,power,0.0986,0.001,hyper
20,18,2,power,0.8439,0.01,hyper
21,20,2,power,0.5525,0.008,hyper
22,23,2,power,0.8745,0.013,hyper
23,26,2,power,0.2938,0.01,hyper
24,15,2,power,0.7208,0.01,hyper
25,12,2,power,0.313,0.003,hyper
26,20,2,power,0.9737,0.004,hyper
27,19,2,power,0.1688,0.003,hyper
28,10,2,power,0.4642,0.012,hyper
29,14,2,power,0.7008,0.008,hyper
30,12,2,power,0.4266,0.007,hyper
31,24,2,power,0.7236,0.004,hyper
32,21,2,power,0.398,0.01,hyper
33,18,2,power,0.1556,0.008,hyper
34,20,2,power,0.9953,0.008,hyper
35,19,2,power,0.8585,0.005,hyper
36,15,2,power,0.2095,0.011,hyper
37,18,2,power,0.641,0.006,hyper
38,14,2,power,0.7904,0.01,hyper
39,29,2,power,0.9629,0.008,hyper
40,11,2,power,0.3516,0.01,hyper
41,23,2,power,0.0503,0.01,hyper
42,19,2,power,0.5194,0.01,hyper
43,20,2,power,0.18,0.007,hyper
44,19,2,power,0.1065,0.008,hyper
45,15,2,power,0.8625,0.009,hyper
46,19,2,power,0.9917,0.012,hyper
47,17,2,power,0.6288,0.013,hyper
48,22,2,power,0.256,0.007,hyper
49,14,2,power,0.5134,0.01,hyper
